ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Hong Kong, Chine,22.2793278,114.1628131,Athènes, Grèce,37.9755648,23.7348324,8543.14560543291
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Oslo, Norvège,59.9133301,10.7389701,8573.170139966147
Melbourne, Australie,-37.8142454,144.9631732,Séoul, Corée du Sud,37.5666791,126.9782914,8582.640494705196
Hong Kong, Chine,22.2793278,114.1628131,Oslo, Norvège,59.9133301,10.7389701,8592.075527632884
Singapour, Singapour,1.357107,103.8194992,Johannesburg, Afrique du Sud,-26.205,28.049722,8659.38304776376
Paris, France,48.8534951,2.3483915,Johannesburg, Afrique du Sud,-26.205,28.049722,8728.41915249307
Hong Kong, Chine,22.2793278,114.1628131,Berlin, Allemagne,52.5170365,13.3888599,8753.392299260498
Londres, Angleterre,51.5073219,-0.1276474,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,8755.430461576208
Montréal, Canada,45.5031824,-73.5698065,Santiago, Chili,-33.4377756,-70.6504502,8782.760960992173
Tokyo, Japon,35.6821936,139.762221,Reykjavik, Islande,64.145981,-21.9422367,8798.7362119069
Tokyo, Japon,35.6821936,139.762221,Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,8810.65163797053
Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,Manille, Philippines,14.5906346,120.9799964,8814.051874068462
Londres, Angleterre,51.5073219,-0.1276474,Séoul, Corée du Sud,37.5666791,126.9782914,8857.348542042404
Berlin, Allemagne,52.5170365,13.3888599,Johannesburg, Afrique du Sud,-26.205,28.049722,8868.774584620982
Melbourne, Australie,-37.8142454,144.9631732,Hawaï, États-Unis d'Amérique,19.5938015,-155.4283701,8913.238380960283
Berlin, Allemagne,52.5170365,13.3888599,Tokyo, Japon,35.6821936,139.762221,8920.950555511028
Londres, Angleterre,51.5073219,-0.1276474,Mexico, Mexique,19.4326296,-99.1331785,8928.738960297991
Lagos, Nigéria,6.4550575,3.3941795,Santiago, Chili,-33.4377756,-70.6504502,8945.123034013634
Paris, France,48.8534951,2.3483915,Séoul, Corée du Sud,37.5666791,126.9782914,8966.17402390038
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Santiago, Chili,-33.4377756,-70.6504502,8998.5724031855
